location,tillage,cover.trt,depth,crop,yield,CV,MYP,om_2015,cec_2015,ph_2015,Phosphorus_2015,Potassium_2015,Calcium_2015,Magnesium_2015,d_om,d_cec,d_ph,d_P,mean.vmc,meanT
IL,cp,none,0_10,maize,11964.5,0.24847436,8352.148905,41.6875,16.39375,6.0875,12.125,143.5,2098.6875,379.4375,-3.5625,1.18125,0.0875,-8,0.218320641,23.71705918
IL,cp,rye,0_10,maize,11073.75,0.223040454,8446.239079,54.875,18.2125,6.28125,17.3125,157.75,2400.5625,444.75,3.875,0.0375,0.16875,-12.6875,0.206922619,23.7796028
IL,rt,none,0_10,maize,11794.5,0.305808656,7811.34012,42.0625,15.125,6.08125,11.8125,128,1912.5625,363.875,-4.1875,-0.7625,0.31875,-10.6875,0.220225926,23.94231395
IL,rt,rye,0_10,maize,11773.5,0.232528657,8678.711605,48.1875,17.75625,6.1125,16.8125,155.5625,2277,421.75,-0.8125,0.56875,0.125,-11.0625,0.217235124,23.60970061
IL,cp,none,0_10,soybean,4417.75,0.366701275,2530.124999,41.6875,16.39375,6.0875,12.125,143.5,2098.6875,379.4375,-3.5625,1.18125,0.0875,-8,0.218320641,23.71705918
IL,cp,rye,0_10,soybean,3548.5,0.177976025,2530.125002,54.875,18.2125,6.28125,17.3125,157.75,2400.5625,444.75,3.875,0.0375,0.16875,-12.6875,0.206922619,23.7796028
IL,rt,none,0_10,soybean,3368.75,0.292716068,2530.124999,42.0625,15.125,6.08125,11.8125,128,1912.5625,363.875,-4.1875,-0.7625,0.31875,-10.6875,0.220225926,23.94231395
IL,rt,rye,0_10,soybean,4274,0.257396656,2530.125001,48.1875,17.75625,6.1125,16.8125,155.5625,2277,421.75,-0.8125,0.56875,0.125,-11.0625,0.217235124,23.60970061
MI,cp,none,0_10,maize,6767.25,0.193947261,6367.072049,15.95833333,6.4125,5.908333333,47.91666667,112.5416667,769,128.2083333,-4.125,0.129166667,0.183333333,3.083333333,0.161006363,23.7059612
MI,cp,rye,0_10,maize,6952.25,0.23878289,6082.316565,17,6.829166667,5.8625,39.70833333,112.875,817.3333333,138.0833333,-0.416666667,-0.054166667,-0.004166667,7.125,0.175851326,23.90036204
